accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
94155156,12,79,0,2,18,2,9435,8122,1
41231571,9,13,5,3,2,2,16683,14249,1
94155156,18,79,1,1,25,2,14788,10954,1
41231571,11,88,1,1,21,2,12666,11707,1
94155156,21,27,4,2,17,2,14096,11608,1
41231571,15,78,4,3,6,2,17931,13820,1
106863163,16,39,6,2,66,2,22630,17309,0
101695162,16,53,5,1,35,2,18898,16273,0
94155156,25,27,9,2,78,2,30319,21980,1
41231571,24,13,12,1,59,2,39850,37110,1
94155156,8,30,5,3,27,2,12141,12354,0
41231571,15,78,5,1,34,2,19596,15847,0
94155156,15,27,4,1,52,2,28245,18578,1
41231571,12,13,12,3,35,2,38538,46070,1
159020918,13,107,3,2,3,2,20336,15126,0
94155156,12,27,3,2,18,2,12009,11194,1
41231571,12,78,8,1,30,2,21461,16383,1
94155156,14,3,1,3,1,2,9626,7807,1
41231571,7,13,6,1,6,2,13823,14205,1
94155156,16,85,4,2,7,1,10432,8560,0
41231571,15,41,0,3,9,1,11352,8008,0
159020918,27,51,6,2,3,1,13592,10923,1
159020918,15,16,7,2,9,1,12112,11252,1
94155156,7,79,0,1,3,1,6263,4933,0
41231571,5,65,5,2,65,1,11391,10393,0
94155156,11,75,6,3,13,1,10871,10654,0
41231571,13,65,3,1,52,1,19755,13652,0
159020918,10,16,0,3,4,2,17012,13732,0
94155156,18,79,9,3,36,2,28470,19505,1
41231571,18,96,3,1,37,2,28033,19024,1
105248644,14,14,9,3,30,1,16681,10755,1
34505203,20,30,7,3,0,1,11626,8144,1
82262664,17,72,13,3,67,1,22017,17804,1
101356886,10,97,1,2,82,1,14743,11121,1
