accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
159020918,16,112,3,1,2,2,14486,12154,1
134556694,18,3,4,3,2,2,9109,8480,1
132851371,7,109,9,1,100,2,19358,21336,1
92423451,7,96,14,3,21,2,14833,14354,1
159020918,15,112,2,1,10,2,10698,9109,1
134556694,9,85,6,3,22,2,9528,8475,1
132851371,6,10,10,3,35,2,16437,16617,1
92423451,19,33,2,1,30,2,11788,9836,1
159020918,10,112,5,1,5,2,9682,8706,1
134556694,20,112,3,3,1,2,15341,11599,1
132851371,10,12,10,3,96,2,23199,20410,1
92423451,16,96,2,1,22,2,15715,12382,1
159020918,14,7,2,2,6,2,10477,8674,1
132851371,7,72,12,3,128,2,21396,26247,0
132851371,8,46,4,2,129,2,29069,25887,0
132851371,19,97,4,2,53,2,25041,18461,1
132851371,8,7,11,3,3,22,13504,12164,1
132851371,6,114,8,2,19,22,19358,14133,0
132851371,8,10,4,3,48,22,22531,19973,0
132851371,14,12,22,3,226,22,51122,49441,1
132851371,15,10,16,2,105,22,32265,36662,1
132851371,7,45,3,2,40,22,16380,15196,0
132851371,10,73,9,2,148,22,30263,38846,1
132851371,14,46,14,2,99,22,46744,43879,0
132851371,10,46,18,2,160,22,35304,33076,1
132851371,25,73,6,2,192,22,42063,67387,0
132851371,3,12,5,3,142,22,19008,19444,0
132851371,5,10,14,3,52,22,30294,25574,0
132851371,15,109,18,1,145,22,35989,49856,1
132851371,8,12,18,3,147,22,32308,35055,1
132851371,11,1,18,1,243,22,38748,42593,1
132851371,23,27,0,0,0,2,17476,15755,1
132851371,7,109,15,3,117,22,27498,27561,1
132851371,8,73,10,2,115,22,23938,30472,1
132851371,21,33,4,3,48,2,16775,15754,1
132851371,7,97,5,1,43,2,11955,13004,1
132851371,0,33,4,3,0,22,4928,5006,0
132851371,16,2,10,3,113,4,31443,24501,1
132851371,4,46,16,2,109,22,24598,22002,1
132851371,6,10,1,3,3,22,12602,9558,0
132851371,5,11,4,2,134,22,22716,16418,0
132851371,5,109,14,1,199,22,19894,21094,1
132851371,3,61,11,2,140,22,34178,29951,0
134556694,18,79,3,3,0,2,9220,8554,1
132851371,18,109,11,3,60,2,20280,18042,1
106573901,7,70,29,1,18,2,25610,17962,1
159020918,16,105,6,2,15,2,15350,12392,1
132851371,38,67,15,1,74,22,34831,32220,1
134556694,18,107,2,3,0,2,8629,7169,1
132851371,7,61,18,2,28,2,20629,15584,1
106573901,14,7,6,2,5,2,8372,8007,1
159020918,7,105,15,2,15,2,14275,13266,1
134556694,2,32,6,3,0,2,6333,5733,0
132851371,9,7,4,2,1,2,5005,5987,0
106573901,6,14,8,2,5,2,8481,7443,0
